epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.1659,1.174,3.38322,1.14942,0.44399,0.12062,0.39447,0.24387,1.13287,2.95674,1.08255,0.000547614,0.000547614,0.000547614
2,26.8567,1.20973,2.68017,1.16619,0.28326,0.35586,0.25041,0.14733,1.2529,2.72094,1.18141,0.00108963,0.00108963,0.00108963
3,39.0728,1.29633,2.52971,1.20791,0.45726,0.60661,0.48462,0.3142,1.22899,2.01792,1.21901,0.00161789,0.00161789,0.00161789
4,51.0864,1.24855,2.27871,1.21038,0.46847,0.6994,0.54704,0.34105,1.21994,1.75917,1.15985,0.00160511,0.00160511,0.00160511
5,63.7344,1.24259,2.0079,1.1955,0.52943,0.73694,0.60913,0.36584,1.26907,1.69158,1.17333,0.00158448,0.00158448,0.00158448
6,77.084,1.24008,1.8019,1.18683,0.64712,0.71074,0.68816,0.43067,1.19499,1.304,1.17796,0.00156385,0.00156385,0.00156385
7,90.2118,1.23311,1.56419,1.18222,0.70024,0.72628,0.74389,0.47797,1.18982,1.18045,1.14728,0.00154323,0.00154323,0.00154323
8,102.466,1.22928,1.45754,1.20297,0.82837,0.72357,0.80381,0.5399,1.18117,1.11052,1.17003,0.0015226,0.0015226,0.0015226
9,114.657,1.16083,1.27121,1.14418,0.78696,0.71712,0.81187,0.53877,1.14228,1.06804,1.18029,0.00150197,0.00150197,0.00150197
10,127.091,1.15174,1.18892,1.1402,0.83371,0.79009,0.86412,0.57415,1.08678,0.95947,1.11399,0.00148134,0.00148134,0.00148134
11,139.25,1.15677,1.13099,1.14082,0.6586,0.7161,0.78271,0.52481,1.14492,1.20645,1.11421,0.00146071,0.00146071,0.00146071
12,151.414,1.14772,1.09154,1.1207,0.82337,0.77681,0.87097,0.58145,1.13002,0.95692,1.1279,0.00144008,0.00144008,0.00144008
13,163.68,1.12679,1.00886,1.12398,0.87203,0.7882,0.87398,0.60576,1.08606,0.8583,1.11763,0.00141945,0.00141945,0.00141945
14,175.765,1.10146,0.96835,1.11007,0.88201,0.79098,0.89643,0.59728,1.10263,0.89473,1.10217,0.00139882,0.00139882,0.00139882
15,187.974,1.09648,0.953,1.10102,0.86397,0.80309,0.89743,0.58854,1.12142,0.85518,1.11111,0.00137819,0.00137819,0.00137819
16,200.01,1.11087,0.95928,1.11088,0.86171,0.75062,0.88452,0.57161,1.15272,0.94826,1.13283,0.00135756,0.00135756,0.00135756
17,212.348,1.12237,0.95832,1.10825,0.88017,0.79601,0.89323,0.55948,1.12193,0.92189,1.09489,0.00133693,0.00133693,0.00133693
18,224.56,1.07251,0.88656,1.0986,0.89646,0.85806,0.90923,0.61484,1.06756,0.79395,1.09222,0.0013163,0.0013163,0.0013163
19,236.838,1.06857,0.86002,1.08982,0.8587,0.8486,0.92573,0.60703,1.06493,0.79415,1.10666,0.00129568,0.00129568,0.00129568
20,249.045,1.04861,0.82285,1.08332,0.90348,0.79284,0.8959,0.61808,1.06596,0.78253,1.09684,0.00127505,0.00127505,0.00127505
21,261.276,1.05308,0.83381,1.07795,0.85028,0.83342,0.90775,0.63802,1.03668,0.75874,1.07748,0.00125442,0.00125442,0.00125442
22,273.415,1.02393,0.75619,1.06073,0.88627,0.79414,0.88104,0.60108,1.12266,0.8059,1.13324,0.00123379,0.00123379,0.00123379
